City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Nicoya,CR,85.55,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
483,Bajil,YE,78.91,clear sky,15.0584,43.2851,فندق حضرموت
484,Conceicao Da Barra,BR,83.05,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
486,Atambua,ID,75.22,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
487,Bontang,ID,76.87,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
490,Paramonga,PE,71.73,scattered clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
491,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
494,Puerto Madero,MX,81.88,clear sky,14.7208,-92.4215,Hospedaje madero
496,Kieta,PG,79.72,light rain,-6.2167,155.6333,Uruna Bay Retreat
499,Tubmanburg,LR,84.99,broken clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
500,Juazeiro,BR,87.98,light rain,-9.4117,-40.4986,JB Hotel
505,George Town,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
507,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
509,Sur,OM,72.52,clear sky,22.5667,59.5289,Sur Plaza Hotel
512,Namwala,ZM,88.63,scattered clouds,-15.7504,26.4384,Corner Point Lodge
515,Mahibadhoo,MV,81.14,overcast clouds,3.7833,72.9667,Omadhoo Inn
517,Camopi,GF,81.86,light rain,3.1655,-52.3158,La pousada
520,Jalgaon,IN,71.87,clear sky,21.0167,75.5667,Hotel Plaza (BOOKING FOR FOREIGN TOURIST ONLY)
521,Clearwater,US,82.36,scattered clouds,27.9659,-82.8001,Shephard's Beach Resort
524,Lazaro Cardenas,MX,83.5,broken clouds,17.9583,-102.2,quinta antigua
528,Amahai,ID,80.01,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
533,Eyl,SO,77.52,clear sky,7.9803,49.8164,Amiin Hotel
534,Ambilobe,MG,77.67,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
536,Rocha,UY,87.85,few clouds,-34.4833,-54.3333,Hotel Arrarte
540,Port Elizabeth,ZA,74.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
544,Whitianga,NZ,69.03,light rain,-36.8333,175.7,Beachside Resort Whitianga
547,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
548,Kudat,MY,78.73,few clouds,6.8837,116.8477,Dream Garden Hotel
554,Brazzaville,CG,84.51,few clouds,-4.2658,15.2832,Hotel Muesse
557,Lisala,CD,79.38,overcast clouds,2.15,21.5167,Flat hôtel tozelaka
562,Muleba,TZ,69.76,overcast clouds,-1.8397,31.6544,DIGNITY GUEST (RUGAIMUKAMU)
565,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
569,Bucerias,MX,79.99,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
571,Takoradi,GH,83.19,scattered clouds,4.8845,-1.7554,Raybow International Hotel
576,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
577,Sinnamary,GF,78.06,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
578,Kaeo,NZ,70.32,moderate rain,-35.1,173.7833,Bushido Lodge
579,Necochea,AR,73.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
580,Neiafu,TO,74.08,heavy intensity rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
584,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
586,Kalmunai,LK,78.1,overcast clouds,7.4167,81.8167,VS Villa
592,General Roca,AR,74.62,scattered clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
593,Vao,NC,77.52,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
596,Hambantota,LK,79.77,overcast clouds,6.1241,81.1185,Bungalow 63
597,Maracas,BR,77.18,overcast clouds,-13.4411,-40.4308,Pousada Vale Aprazível
600,Kiunga,PG,73.36,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
603,Maragogi,BR,84.78,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
607,Koumac,NC,75.87,light rain,-20.5667,164.2833,Le Monitel
610,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
623,Cuamba,MZ,83.91,scattered clouds,-14.8031,36.5372,Hotel Vision
624,Akyab,MM,72.37,few clouds,20.15,92.9,Hotel Memory
631,Robertsport,LR,82.83,broken clouds,6.7533,-11.3686,Kwepunha Retreat
634,Katakwi,UG,79.88,overcast clouds,1.8911,33.9661,Ebenezer Guest House
637,Chirongui,YT,80.53,broken clouds,-12.9319,45.1483,La Villa Mahatsara
641,Denpasar,ID,82.06,light rain,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
642,Caramay,PH,78.31,broken clouds,10.1815,119.236,Peace and Love Beach Club
643,Kuala Terengganu,MY,80.55,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
644,Manapla,PH,78.39,broken clouds,10.9167,123.1333,"RABAGUS REALTY, INC. -Northland Resort Hotel"
646,West Bay,KY,86.07,few clouds,19.3667,-81.4167,Calypso Cove
648,Yenagoa,NG,88.57,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
649,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
651,Isla Mujeres,MX,84.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
652,Calama,CL,70.29,few clouds,-22.4667,-68.9333,Diego De Almagro Calama
656,Vanimo,PG,79.07,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
657,Dhidhdhoo,MV,82.58,broken clouds,6.8833,73.1,Dhidhoo beach
658,Khartoum,SD,86.02,clear sky,15.5518,32.5324,Hotel China
660,Mayumba,GA,76.03,overcast clouds,-3.432,10.6554,LIKWALE LODGE
664,Fayaoue,NC,77.32,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
667,Epe,NG,84.38,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
668,Qui Nhon,VN,72.43,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
669,Nabire,ID,77.14,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
670,Alta Floresta,BR,73.45,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
672,Hirara,JP,69.87,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
674,Samana,DO,82.62,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
675,Tucurui,BR,86.92,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
676,Itaituba,BR,87.96,scattered clouds,-4.2761,-55.9836,Hotel Campos
679,Tshela,CD,75.85,overcast clouds,-4.9833,12.9333,Hotel Mirador
682,Bahia Honda,CU,83.07,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
687,Lantawan,PH,78.49,scattered clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
688,Padre Paraiso,BR,79.5,overcast clouds,-17.0742,-41.4844,Pousada Três Irmãos
690,Mackay,AU,78.78,broken clouds,-21.15,149.2,International Lodge Motel
691,Etchojoa,MX,71.56,clear sky,26.9167,-109.6333,Cuadra RT
694,Vilhena,BR,82.62,broken clouds,-12.7406,-60.1458,Hotel Mirage
700,Moyale,KE,71.04,overcast clouds,3.5167,39.0584,La Tahzan Guest House
706,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
707,Abu Zabad,SD,81.66,broken clouds,12.35,29.25,حامد محمد نور
